Avenger_id,Avenger_name,Avenger_category,About_avenger,Year_joined,Years_since_joined,Years_since_joined,No_of_appearances,Year_of_introduction,Serving_currently,Honorary,Probationary_Intro_Year
20,Patsy Walker,FEMALE,http://marvel.wikia.com/Patricia_Walker_(Earth-616)#,1976,39,39,557,,NO,Full,Nov-75
21,Matthew Liebowitz (birth name),MALE,http://marvel.wikia.com/Matthew_Hawk_(Earth-616)#,1975,40,40,197,,NO,Full,
22,Robert L. Frank Sr.,MALE,http://marvel.wikia.com/Robert_Frank_(Earth-616)#,1978,37,37,106,,NO,Full,Apr-77
23,Simon Williams,MALE,http://marvel.wikia.com/Simon_Williams_(Earth-616)#,1979,36,36,692,,YES,Full,Apr-77
24,Yondu Udonta,MALE,http://marvel.wikia.com/Yondu_Udonta_(Earth-691)#,1978,37,37,109,,NO,Honorary,
25,Martinex T'Naga,MALE,http://marvel.wikia.com/Martinex_T%27Naga_(Earth-691)#,1978,37,37,100,,NO,Honorary,
26,Charlie-27,MALE,http://marvel.wikia.com/Charlie-27_(Earth-691)#,1978,37,37,132,,NO,Honorary,
27,Nicholette Gold,FEMALE,http://marvel.wikia.com/Nicholette_Gold_(Earth-691)#,1978,37,37,108,,NO,Honorary,
28,Stakar,MALE,http://marvel.wikia.com/Stakar_Ogord_(Earth-691)#,1978,37,37,100,,NO,Honorary,
29,Vance Astrovik,MALE,http://marvel.wikia.com/Vance_Astro_(Earth-691)#,1978,37,37,156,,NO,Honorary,
30,Mar-Vell,MALE,http://marvel.wikia.com/Mar-Vell_(Earth-616)#,1978,37,37,254,,NO,Full,
31,Carol Susan Jane Danvers,FEMALE,http://marvel.wikia.com/Carol_Danvers_(Earth-616)#,1979,36,36,935,,YES,Full,
32,Samuel Thomas Wilson,MALE,http://marvel.wikia.com/Samuel_Wilson_(Earth-616)#,1979,36,36,576,,YES,Full,
33,Jocasta,FEMALE,http://marvel.wikia.com/Jocasta_(Earth-616)#,1988,27,27,141,,YES,Full,Jul-80
34,Greer Grant Nelson,FEMALE,http://marvel.wikia.com/Greer_Nelson_(Earth-616)#,1981,34,34,355,,YES,Full,
35,Jennifer Walters,FEMALE,http://marvel.wikia.com/Jennifer_Walters_(Earth-616)#,1982,33,33,933,,YES,Full,
36,Monica Rambeau,FEMALE,http://marvel.wikia.com/Monica_Rambeau_(Earth-616)#,1983,32,32,348,,YES,Full,Jan-83
37,Eros,MALE,http://marvel.wikia.com/Eros_(Earth-616)#,1984,31,31,206,,NO,Full,Jun-83
38,James R. Rhodes,MALE,http://marvel.wikia.com/James_Rhodes_(Earth-616)#,1984,31,31,533,,NO,Full,May-84
39,Barbara Barton (nee Morse),FEMALE,http://marvel.wikia.com/Barbara_Morse_(Earth-616)#,1984,31,31,374,,NO,Full,Jun-84
40,Moira Brandon,FEMALE,http://marvel.wikia.com/Moira_Brandon_(Earth-616)#,1993,22,22,2,,NO,Honorary,
41,Benjamin Jacob Grimm,MALE,http://marvel.wikia.com/Benjamin_Grimm_(Earth-616)#,1986,29,29,2305,,NO,Full,
42,Bonita Juarez,FEMALE,http://marvel.wikia.com/Bonita_Juarez_(Earth-616)#,1987,28,28,83,,NO,Full,
43,Marc Spector,MALE,http://marvel.wikia.com/Marc_Spector_(Earth-616)#,1988,27,27,402,,NO,Full,Sep-87
44,John F. Walker,MALE,http://marvel.wikia.com/John_Walker_(Earth-616)#,1989,26,26,352,,NO,Full,
45,Jim Hammond (alias),MALE,http://marvel.wikia.com/Human_Torch_(Android)_(Earth-616)#,1989,26,26,565,,NO,Full,
46,Miguel Santos,MALE,http://marvel.wikia.com/Miguel_Santos_(Earth-616)#,1991,24,24,112,,NO,Full,
47,Julia Carpenter,FEMALE,http://marvel.wikia.com/Julia_Carpenter_(Earth-616)#,1992,23,23,218,,NO,Full,
48,X-51,MALE,http://marvel.wikia.com/2ZP45-9-X-51_(Earth-616)#,1992,23,23,149,,NO,Full,
49,Christopher Powell,MALE,http://marvel.wikia.com/Chris_Powell_(Earth-616)#,1993,22,22,168,,NO,Full,
50,Namor McKenzie,MALE,http://marvel.wikia.com/Namor_McKenzie_(Earth-616)#,1985,30,30,1561,,NO,Full,
51,Scott Edward Harris Lang,MALE,http://marvel.wikia.com/Scott_Lang_(Earth-616)#,2003,12,12,217,,NO,Full,Jan-87
52,Anthony Ludgate Druid,MALE,http://marvel.wikia.com/Anthony_Druid_(Earth-616)#,1987,28,28,158,,NO,Honorary,
53,Marrina Smallwood,FEMALE,http://marvel.wikia.com/Marrina_Smallwood_(Earth-616)#,1987,28,28,86,,NO,Full,
54,Ravonna Lexus Renslayer,FEMALE,http://marvel.wikia.com/Ravonna_Renslayer_(Earth-6311)#,1988,27,27,41,,NO,Full,
55,Rita DeMara,FEMALE,http://marvel.wikia.com/Rita_DeMara_(Earth-616)#,1988,27,27,68,,NO,Honorary,
56,Dennis Dunphy,MALE,http://marvel.wikia.com/Dennis_Dunphy_(Earth-616)#,1988,27,27,70,,NO,Full,
57,Mr.X,MALE,http://marvel.wikia.com/Gilgamesh_(Earth-616)#,1989,26,26,61,,NO,Full,
58,Reed Richards,MALE,http://marvel.wikia.com/Reed_Richards_(Earth-616)#,1989,26,26,2125,,YES,Full,
59,Susan Richards (nee Storm),MALE,http://marvel.wikia.com/Susan_Storm_(Earth-616)#,1989,26,26,1761,,NO,Full,
60,Wendell Elvis Vaughn,MALE,http://marvel.wikia.com/Wendell_Vaughn_(Earth-616)#,1989,26,26,293,,NO,Full,
61,Ashley Crawford,FEMALE,http://marvel.wikia.com/Ashley_Crawford_(Earth-616)#,1989,26,26,36,,YES,Full,
62,,FEMALE,http://marvel.wikia.com/Dinah_Soar_(Earth-616)#,1989,26,26,22,,NO,Full,
63,DeMarr Davis,MALE,http://marvel.wikia.com/DeMarr_Davis_(Earth-616)#,1989,26,26,31,,YES,Full,
64,Val Ventura,MALE,http://marvel.wikia.com/Val_Ventura_(Earth-616)#,1989,26,26,34,,YES,Full,
65,Craig Hollis,MALE,http://marvel.wikia.com/Craig_Hollis_(Earth-616)#,1989,26,26,33,,YES,Full,
66,Gene Lorrene,MALE,http://marvel.wikia.com/Gene_Lorrene_(Earth-616)#,2005,10,10,4,,NO,Full,
67,Dorreen Green,FEMALE,http://marvel.wikia.com/Doreen_Green_(Earth-616)#,2005,10,10,47,,NO,Full,
68,,MALE,http://marvel.wikia.com/Monkey_Joe_(Earth-616)#,2005,10,10,7,,NO,Full,
69,Doug Taggert,MALE,http://marvel.wikia.com/Doug_Taggert_(Earth-616)#,2005,10,10,3,,NO,Full,
70,,FEMALE,http://marvel.wikia.com/Tippy-Toe_(Earth-616)#,2005,10,10,16,,NO,Full,
71,Wade Wilson,MALE,http://marvel.wikia.com/Wade_Wilson_(Earth-616)#,2007,8,8,575,,NO,Full,
72,Greg Willis,MALE,http://marvel.wikia.com/Greg_Willis_(Earth-616)#,2009,6,6,58,,NO,Full,
73,Circe,FEMALE,http://marvel.wikia.com/Sersi_(Earth-616)#,1990,25,25,237,,NO,Full,
74,Peter Benjamin Parker,MALE,http://marvel.wikia.com/Peter_Parker_(Earth-616)#,1990,25,25,4333,,YES,Full,
75,Walter Newell,MALE,http://marvel.wikia.com/Walter_Newell_(Earth-616)#,1990,25,25,126,,NO,Full,
76,Elvin Haliday,MALE,http://marvel.wikia.com/Elvin_Haliday_(Earth-616)#,1900,115,115,158,,NO,Probationary,Feb-91
77,William Baker,MALE,http://marvel.wikia.com/William_Baker_(Earth-616)#,1900,115,115,355,,NO,Probationary,Feb-91
78,Crystal Amaquelin Maximoff,FEMALE,http://marvel.wikia.com/Crystalia_Amaquelin_(Earth-616)#,1992,23,23,517,,NO,Full,Aug-91
79,Eric Kevin Masterson,MALE,http://marvel.wikia.com/Eric_Masterson_(Earth-616)#,1992,23,23,202,,NO,Full,
80,Phillip Javert,MALE,http://marvel.wikia.com/Philip_Javert_(Earth-921)#,1992,23,23,31,,NO,Honorary,
81,,FEMALE,http://marvel.wikia.com/Melissa_Darrow_(Earth-9201)#,1993,22,22,28,,NO,Honorary,
82,,FEMALE,http://marvel.wikia.com/Deathcry_(Earth-616)#,1993,22,22,50,,NO,Honorary,
83,Anthony Edward Stark,MALE,http://marvel.wikia.com/Anthony_Stark_(Earth-96020)#,1996,19,19,27,,NO,Full,
84,"""Giulietta Nefaria""",FEMALE,http://marvel.wikia.com/Giuletta_Nefaria_(Masque)_(Earth-616)#,1996,19,19,18,,NO,Honorary,
85,Vance Astrovik,MALE,http://marvel.wikia.com/Vance_Astrovik_(Earth-616)#,1998,17,17,302,,NO,Full,
86,Angelica Jones,FEMALE,http://marvel.wikia.com/Angelica_Jones_(Earth-616)#,1998,17,17,330,,NO,Full,
87,Delroy Garrett Jr.,MALE,http://marvel.wikia.com/Delroy_Garrett_Jr._(Earth-616)#,2000,15,15,101,,NO,Full,
88,Maria de Guadalupe Santiago,FEMALE,http://marvel.wikia.com/Maria_de_Guadalupe_Santiago_(Earth-616)#,2000,15,15,43,,NO,Full,
89,Jonathan Hart,MALE,http://marvel.wikia.com/Jonathan_Hart_(Earth-616)#,2001,14,14,126,,NO,Full,
90,Kelsey Leigh Shorr,FEMALE,http://marvel.wikia.com/Kelsey_Leigh_(Earth-616)#,2004,11,11,24,,NO,Full,
91,Carl Lucas,MALE,http://marvel.wikia.com/Luke_Cage_(Earth-616)#,2005,10,10,886,,YES,Full,
92,Veranke,FEMALE,http://marvel.wikia.com/Veranke_(Earth-616)#,2005,10,10,159,,NO,Full,
93,"James ""Logan"" Howlett",MALE,http://marvel.wikia.com/James_Howlett_(Earth-616)#,2005,10,10,3130,,YES,Full,
94,Robert Reynolds,MALE,http://marvel.wikia.com/Robert_Reynolds_(Earth-616)#,2005,10,10,241,,NO,Full,
